
TimeEdit,Linköpings universitet
"Y3.a, CIV ING UTB TEKNISK FYSIK O ELEKTROTEKNIK",2018-07-30 - 2019-07-01,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Lokal,Undervisningstyp,Lärare,Studentgrupp,Fria grupper,Information till student,Studentförening,URL 
2018-10-12,08:15,2018-10-12,10:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C1,Grupp D1",,,
2018-10-12,10:15,2018-10-12,12:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-10-12,10:15,2018-10-12,12:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-10-12,13:15,2018-10-12,15:00,TAMS24,S35,Lektion,Denise Uwamariya,Y3.a,,,,
2018-10-12,15:15,2018-10-12,17:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,reserv,,
2018-10-15,08:15,2018-10-15,10:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A2,Grupp B2",,,
2018-10-15,08:15,2018-10-15,10:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C2,Grupp D2",,,
2018-10-15,10:15,2018-10-15,12:00,TFYA43,BL32,Föreläsning,,"BME2,FyN2,MSN1,Y3",,reserv,,
2018-10-15,13:15,2018-10-15,15:00,TAMS24,VAL,Föreläsning,Johan Thim,"MED3,Y3,Yi3",,,,
2018-10-16,08:15,2018-10-16,10:00,TATA77,U14,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-10-16,10:15,2018-10-16,12:00,TATA77,U3,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-10-16,13:15,2018-10-16,15:00,TFYA43,"U6,U7",Seminarium,,"BME2,FyN2,MSN1,Y3",,,,
2018-10-16,15:15,2018-10-16,17:00,TFYA43,"U6,U7",Seminarium,,"BME2,FyN2,MSN1,Y3",,,,
2018-10-17,10:15,2018-10-17,12:00,TATA77,C3,Föreläsning,Mats Aigner,"MAT3,Y3",,,,
2018-10-17,13:15,2018-10-17,15:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A2,Grupp B2",,,
2018-10-17,13:15,2018-10-17,15:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C2,Grupp D2",,,
2018-10-17,15:15,2018-10-17,17:00,TDDC76,SU15/16,Laboration,"Frida Flodin,Lukas Pohlman","FyN3,MAT3,MED3,Y3,Yi3","Grupp A1,Grupp B1",,,
2018-10-17,15:15,2018-10-17,17:00,TDDC76,SU17/18,Laboration,"Oskar Holmström,William Stenberg","FyN3,MAT3,MED3,Y3,Yi3","Grupp C1,Grupp D1",,,
2018-10-18,08:15,2018-10-18,10:00,TFYA43,"U10,U11",Seminarium,,"BME2,FyN2,MSN1,Y3",,,,
2018-10-18,10:15,2018-10-18,12:00,TAMS24,R18,Lektion,Denise Uwamariya,Y3.a,,,,
2018-10-18,13:15,2018-10-18,15:00,TATA77,U10,Lektion,Mats Aigner,"MAT3,Y3",Grupp A,,,
2018-10-18,13:15,2018-10-18,15:00,TATA77,U11,Lektion,Lars Alexandersson,"MAT3,Y3",Grupp B,,,
2018-10-19,08:15,2018-10-19,10:00,TDDC76,C2,Föreläsning,Klas Arvidsson,"FyN3,MAT3,MED3,Y3,Yi3",,"Projektintroduktion, STL",,
